game,winner,timeout,adjudicated_timeout,target_value_strength,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,action_temperature,temperature_after_drop,temperature_drop_step,target_policy_temperature,num_simulations,mcts_batch_size
312,1,0,0,1.0,21,8,0,21,6765,1.313506,0.362601,1.676107,0.093813,0.782415,0.0,0.0,8,1.0,600,1
313,2,0,0,1.0,20,6,0,20,6785,1.377421,0.339624,1.717045,0.093813,0.7298,0.0,0.0,8,1.0,600,1
314,2,0,0,1.0,18,8,0,18,6803,1.386468,0.323816,1.710284,0.093813,0.701169,0.0,0.0,8,1.0,600,1
315,1,0,0,1.0,15,7,0,15,6818,1.387454,0.477275,1.864729,0.093813,0.780301,0.0,0.0,8,1.0,600,1
316,2,0,0,1.0,26,7,0,26,6844,1.357805,0.299188,1.656994,0.093813,0.752151,0.0,0.0,8,1.0,600,1
317,2,0,0,1.0,16,8,0,16,6860,1.342563,0.298006,1.640569,0.093813,0.725167,0.0,0.0,8,1.0,600,1
318,1,0,0,1.0,17,8,0,17,6877,1.314177,0.466946,1.781123,0.093813,0.702445,0.0,0.0,8,1.0,600,1
319,1,0,0,1.0,27,7,0,27,6904,1.358637,0.314448,1.673085,0.093813,0.695109,0.0,0.0,8,1.0,600,1
320,2,0,0,1.0,14,4,0,14,6918,1.244333,0.372659,1.616992,0.093813,0.738612,0.0,0.0,8,1.0,600,1
321,2,0,0,1.0,22,8,0,22,6940,1.292032,0.307546,1.599578,0.093813,0.806875,0.0,0.0,8,1.0,600,1
322,1,0,0,1.0,25,8,0,25,6965,1.367179,0.371427,1.738606,0.093813,0.811619,0.0,0.0,8,1.0,600,1
323,2,0,0,1.0,20,6,0,20,6985,1.358992,0.390023,1.749014,0.093813,0.685058,0.0,0.0,8,1.0,600,1
324,1,0,0,1.0,13,7,0,13,6998,1.242265,0.391403,1.633667,0.093813,0.763709,0.0,0.0,8,1.0,600,1
325,1,0,0,1.0,29,8,0,29,7027,1.23785,0.401723,1.639573,0.093813,0.757124,0.0,0.0,8,1.0,600,1
326,1,0,0,1.0,23,8,0,23,7050,1.134894,0.320439,1.455333,0.093813,0.809683,0.0,0.0,8,1.0,600,1
327,2,0,0,1.0,26,7,0,26,7076,1.298789,0.327285,1.626075,0.093813,0.816682,0.0,0.0,8,1.0,600,1
328,2,0,0,1.0,14,6,0,14,7090,1.218638,0.335124,1.553762,0.093813,0.748032,0.0,0.0,8,1.0,600,1
329,1,1,1,0.3,70,7,0,70,7160,1.169319,0.215991,1.38531,0.093813,0.849368,0.0,0.0,8,1.0,600,1
330,2,0,0,1.0,26,8,0,26,7186,1.152658,0.412398,1.565057,0.093813,0.774303,0.0,0.0,8,1.0,600,1
331,2,0,0,1.0,16,7,0,16,7202,1.209646,0.279029,1.488675,0.093813,0.728193,0.0,0.0,8,1.0,600,1
332,2,0,0,1.0,16,5,0,16,7218,1.315455,0.273036,1.588491,0.093813,0.76586,0.0,0.0,8,1.0,600,1
333,1,0,0,1.0,23,8,0,23,7241,1.397641,0.350555,1.748196,0.093813,0.832692,0.0,0.0,8,1.0,600,1
334,1,0,0,1.0,31,8,0,31,7272,1.34316,0.329568,1.672728,0.093813,0.788788,0.0,0.0,8,1.0,600,1
335,1,0,0,1.0,27,6,0,27,7299,1.139423,0.36205,1.501472,0.093813,0.71811,0.0,0.0,8,1.0,600,1
336,1,0,0,1.0,21,8,0,21,7320,1.226066,0.514863,1.740929,0.093813,0.804833,0.0,0.0,8,1.0,600,1
337,1,0,0,1.0,19,7,0,19,7339,1.284171,0.27646,1.560631,0.093813,0.693173,0.0,0.0,8,1.0,600,1
338,1,0,0,1.0,31,8,0,31,7370,1.198898,0.460487,1.659385,0.093813,0.755937,0.0,0.0,8,1.0,600,1
339,1,0,0,1.0,7,3,0,7,7377,1.272485,0.433448,1.705933,0.093813,0.803244,1.0,0.0,8,1.0,600,1
340,1,0,0,1.0,5,1,0,5,7382,1.349671,0.293736,1.643407,0.093813,0.757262,1.0,0.0,8,1.0,600,1
341,1,0,0,1.0,33,8,0,33,7415,1.285337,0.291274,1.576611,0.093813,0.787322,0.0,0.0,8,1.0,600,1
342,1,0,0,1.0,15,7,0,15,7430,1.514121,0.433587,1.947708,0.093813,0.684029,0.0,0.0,8,1.0,600,1
343,2,0,0,1.0,20,7,0,20,7450,1.342693,0.420436,1.763128,0.093813,0.743907,0.0,0.0,8,1.0,600,1
344,2,0,0,1.0,18,7,0,18,7468,1.272736,0.397478,1.670214,0.093813,0.690317,0.0,0.0,8,1.0,600,1
