game,winner,timeout,adjudicated_timeout,target_value_strength,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,action_temperature,temperature_after_drop,temperature_drop_step,target_policy_temperature,num_simulations,mcts_batch_size
200,1,0,0,1.0,19,8,0,19,4078,1.266236,0.318205,1.584442,0.171304,0.775327,0.0,0.0,8,1.0,600,1
201,1,0,0,1.0,19,7,0,19,4097,1.434311,0.294332,1.728643,0.171304,0.713909,0.0,0.0,8,1.0,600,1
202,1,0,0,1.0,17,7,0,17,4114,1.396121,0.425246,1.821367,0.171304,0.722086,0.0,0.0,8,1.0,600,1
203,1,0,0,1.0,27,7,0,27,4141,1.333321,0.394297,1.727619,0.171304,0.726025,0.0,0.0,8,1.0,600,1
204,2,0,0,1.0,14,6,0,14,4155,1.299516,0.399615,1.699131,0.171304,0.711782,0.0,0.0,8,1.0,600,1
205,2,0,0,1.0,26,8,0,26,4181,1.501151,0.459323,1.960474,0.171304,0.81071,0.0,0.0,8,1.0,600,1
206,2,0,0,1.0,24,8,0,24,4205,1.254083,0.356364,1.610447,0.171304,0.726349,0.0,0.0,8,1.0,600,1
207,1,0,0,1.0,19,7,0,19,4224,1.453961,0.412001,1.865963,0.171304,0.661805,0.0,0.0,8,1.0,600,1
208,2,0,0,1.0,26,8,0,26,4250,1.330953,0.315393,1.646345,0.171304,0.786182,0.0,0.0,8,1.0,600,1
209,1,0,0,1.0,17,7,0,17,4267,1.404343,0.351949,1.756292,0.171304,0.746931,0.0,0.0,8,1.0,600,1
210,2,0,0,1.0,22,8,0,22,4289,1.358685,0.322213,1.680899,0.171304,0.795189,0.0,0.0,8,1.0,600,1
211,1,0,0,1.0,19,8,0,19,4308,1.351513,0.379685,1.731199,0.171304,0.724453,0.0,0.0,8,1.0,600,1
212,2,0,0,1.0,22,8,0,22,4330,1.327394,0.394794,1.722187,0.171304,0.814995,0.0,0.0,8,1.0,600,1
213,2,0,0,1.0,24,8,0,24,4354,1.403538,0.330847,1.734385,0.171304,0.766208,0.0,0.0,8,1.0,600,1
214,2,0,0,1.0,24,8,0,24,4378,1.349879,0.376457,1.726336,0.171304,0.741444,0.0,0.0,8,1.0,600,1
215,2,0,0,1.0,16,7,0,16,4394,1.295431,0.386603,1.682034,0.171304,0.730906,0.0,0.0,8,1.0,600,1
216,2,0,0,1.0,18,8,0,18,4412,1.247313,0.384124,1.631436,0.171304,0.724819,0.0,0.0,8,1.0,600,1
217,2,0,0,1.0,6,0,0,6,4418,1.39327,0.390992,1.784262,0.171304,0.834168,1.0,0.0,8,1.0,600,1
218,1,0,0,1.0,21,7,0,21,4439,1.53943,0.468174,2.007604,0.171304,0.707131,0.0,0.0,8,1.0,600,1
219,2,0,0,1.0,18,8,0,18,4457,1.27904,0.395535,1.674574,0.171304,0.705806,0.0,0.0,8,1.0,600,1
220,1,0,0,1.0,19,7,0,19,4476,1.426875,0.358228,1.785104,0.171304,0.686407,0.0,0.0,8,1.0,600,1
221,2,0,0,1.0,28,8,0,28,4504,1.21313,0.310794,1.523924,0.171304,0.773074,0.0,0.0,8,1.0,600,1
222,1,0,0,1.0,27,8,0,27,4531,1.51241,0.402532,1.914942,0.171304,0.672541,0.0,0.0,8,1.0,600,1
223,1,0,0,1.0,23,7,0,23,4554,1.375843,0.282295,1.658138,0.171304,0.698265,0.0,0.0,8,1.0,600,1
224,1,0,0,1.0,23,8,0,23,4577,1.300132,0.418421,1.718553,0.171304,0.715177,0.0,0.0,8,1.0,600,1
225,2,0,0,1.0,26,8,0,26,4603,1.460562,0.49412,1.954681,0.171304,0.713882,0.0,0.0,8,1.0,600,1
226,2,1,1,0.3,70,8,0,70,4673,1.449902,0.38441,1.834312,0.171304,0.842666,0.0,0.0,8,1.0,600,1
227,1,0,0,1.0,21,8,0,21,4694,1.313953,0.446339,1.760292,0.171304,0.745926,0.0,0.0,8,1.0,600,1
228,2,0,0,1.0,22,8,0,22,4716,1.502431,0.391608,1.894039,0.171304,0.730156,0.0,0.0,8,1.0,600,1
229,1,0,0,1.0,23,8,0,23,4739,1.477904,0.386044,1.863948,0.171304,0.793642,0.0,0.0,8,1.0,600,1
230,2,0,0,1.0,16,7,0,16,4755,1.391068,0.473291,1.864359,0.171304,0.731532,0.0,0.0,8,1.0,600,1
231,2,0,0,1.0,22,7,0,22,4777,1.31589,0.42087,1.73676,0.171304,0.751707,0.0,0.0,8,1.0,600,1
232,2,0,0,1.0,20,7,0,20,4797,1.379493,0.48424,1.863733,0.171304,0.744407,0.0,0.0,8,1.0,600,1
233,2,0,0,1.0,16,6,0,16,4813,1.250806,0.420083,1.670889,0.171304,0.701795,0.0,0.0,8,1.0,600,1
234,1,0,0,1.0,37,8,0,37,4850,1.355688,0.392297,1.747985,0.171304,0.67924,0.0,0.0,8,1.0,600,1
235,2,0,0,1.0,14,7,0,14,4864,1.390347,0.38975,1.780097,0.171304,0.654066,0.0,0.0,8,1.0,600,1
236,1,0,0,1.0,21,7,0,21,4885,1.330229,0.434665,1.764894,0.171304,0.691867,0.0,0.0,8,1.0,600,1
237,1,0,0,1.0,21,7,0,21,4906,1.388517,0.398222,1.786738,0.171304,0.674616,0.0,0.0,8,1.0,600,1
238,1,0,0,1.0,17,7,0,17,4923,1.39138,0.376811,1.76819,0.171304,0.713149,0.0,0.0,8,1.0,600,1
239,1,0,0,1.0,21,8,0,21,4944,1.280159,0.403379,1.683537,0.171304,0.68837,0.0,0.0,8,1.0,600,1
240,2,0,0,1.0,22,7,0,22,4966,1.356584,0.359118,1.715701,0.171304,0.726059,0.0,0.0,8,1.0,600,1
241,1,0,0,1.0,19,7,0,19,4985,1.18362,0.411624,1.595244,0.171304,0.703629,0.0,0.0,8,1.0,600,1
242,2,0,0,1.0,20,8,0,20,5005,1.403009,0.316113,1.719122,0.171304,0.781052,0.0,0.0,8,1.0,600,1
243,2,0,0,1.0,16,7,0,16,5021,1.329579,0.334911,1.664491,0.171304,0.686039,0.0,0.0,8,1.0,600,1
244,2,0,0,1.0,20,7,0,20,5041,1.217616,0.414124,1.631741,0.171304,0.701503,0.0,0.0,8,1.0,600,1
245,1,0,0,1.0,19,8,0,19,5060,1.307141,0.339767,1.646908,0.171304,0.741763,0.0,0.0,8,1.0,600,1
