game,winner,timeout,adjudicated_timeout,target_value_strength,timeout_adjudication_mode,timeout_adjudication_max_value,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,action_temperature,temperature_after_drop,temperature_drop_step,target_policy_temperature,num_simulations,mcts_batch_size
81,1,0,0,1.0,fixed,0.5,27,7,0,27,1649,1.388743,0.303466,1.692208,0.118303,0.711371,0.0,0.0,8,1.0,600,1
82,1,0,0,1.0,fixed,0.5,23,8,0,23,1672,1.397937,0.422157,1.820094,0.118303,0.643101,0.0,0.0,8,1.0,600,1
83,1,0,0,1.0,fixed,0.5,7,2,0,7,1679,1.348013,0.283519,1.631532,0.118303,0.668495,1.0,0.0,8,1.0,600,1
84,2,0,0,1.0,fixed,0.5,16,6,0,16,1695,1.441869,0.40803,1.8499,0.118303,0.658598,0.0,0.0,8,1.0,600,1
85,2,0,0,1.0,fixed,0.5,18,8,0,18,1713,1.419208,0.438115,1.857324,0.118303,0.747449,0.0,0.0,8,1.0,600,1
86,1,0,0,1.0,fixed,0.5,13,5,0,13,1726,1.466368,0.447997,1.914365,0.118303,0.61333,0.0,0.0,8,1.0,600,1
87,1,0,0,1.0,fixed,0.5,23,8,0,23,1749,1.418981,0.389594,1.808575,0.118303,0.708427,0.0,0.0,8,1.0,600,1
88,1,0,0,1.0,fixed,0.5,19,7,0,19,1768,1.319298,0.334272,1.65357,0.118303,0.677006,0.0,0.0,8,1.0,600,1
89,1,0,0,1.0,fixed,0.5,25,7,0,25,1793,1.356388,0.30315,1.659538,0.118303,0.657763,0.0,0.0,8,1.0,600,1
90,2,0,0,1.0,fixed,0.5,22,7,0,22,1815,1.340099,0.294273,1.634373,0.118303,0.656852,0.0,0.0,8,1.0,600,1
91,2,0,0,1.0,fixed,0.5,22,7,0,22,1837,1.4401,0.385523,1.825623,0.118303,0.716877,0.0,0.0,8,1.0,600,1
92,2,0,0,1.0,fixed,0.5,18,7,0,18,1855,1.411936,0.385835,1.797771,0.118303,0.719533,0.0,0.0,8,1.0,600,1
93,2,0,0,1.0,fixed,0.5,20,7,0,20,1875,1.388183,0.437579,1.825763,0.118303,0.653255,0.0,0.0,8,1.0,600,1
94,1,0,0,1.0,fixed,0.5,17,7,0,17,1892,1.465164,0.383336,1.848499,0.118303,0.630364,0.0,0.0,8,1.0,600,1
95,1,0,0,1.0,fixed,0.5,19,8,0,19,1911,1.261369,0.377674,1.639043,0.118303,0.635621,0.0,0.0,8,1.0,600,1
96,1,0,0,1.0,fixed,0.5,21,6,0,21,1932,1.34917,0.445981,1.795151,0.118303,0.592893,0.0,0.0,8,1.0,600,1
97,2,0,0,1.0,fixed,0.5,16,6,0,16,1948,1.410378,0.322742,1.73312,0.118303,0.636582,0.0,0.0,8,1.0,600,1
98,2,0,0,1.0,fixed,0.5,26,7,0,26,1974,1.41431,0.365718,1.780028,0.118303,0.623989,0.0,0.0,8,1.0,600,1
99,2,0,0,1.0,fixed,0.5,14,8,0,14,1988,1.372689,0.446855,1.819543,0.118303,0.654543,0.0,0.0,8,1.0,600,1
100,1,0,0,1.0,fixed,0.5,19,7,0,19,2007,1.404479,0.458936,1.863415,0.118303,0.672524,0.0,0.0,8,1.0,600,1
101,2,0,0,1.0,fixed,0.5,22,7,0,22,2029,1.302497,0.399531,1.702028,0.118303,0.660722,0.0,0.0,8,1.0,600,1
102,2,0,0,1.0,fixed,0.5,20,7,0,20,2049,1.391068,0.406295,1.797363,0.118303,0.614357,0.0,0.0,8,1.0,600,1
103,1,0,0,1.0,fixed,0.5,25,8,0,25,2074,1.420788,0.402528,1.823316,0.118303,0.647212,0.0,0.0,8,1.0,600,1
104,2,0,0,1.0,fixed,0.5,22,7,0,22,2096,1.318418,0.473192,1.79161,0.118303,0.747686,0.0,0.0,8,1.0,600,1
105,2,0,0,1.0,fixed,0.5,18,6,0,18,2114,1.313333,0.314956,1.628289,0.118303,0.632999,0.0,0.0,8,1.0,600,1
